establishment,system_name,system_origin,system_serving,system_type
2011,L.E.T.S.,Australia,Western Australia,Local Exchange Trading System  (LETS)
2011,Agate Pass Exchange,United States,North Kitsap County,Mutual Credit System
2011,Villages,Canada,Global,Ripple System
2011,Mesure,France,Française,Monnaie Locale Complémentaire (MLC)
2011,Shire Silver,United States,World,Commodity Based System
2011,Freicoin,Spain,Worldwide,p2p cryptocurrency
2011,LETS,United States,Chicagoland,Local Exchange Trading System  (LETS)
2011,Swap,Switzerland,Francophone,Monnaie complémentaire virtuelle géolocalisée
2011,RAMISEL,Belgium,Wallone,Local Exchange Trading System  (LETS)
2011,Brixton Pound,United Kingdom,Brixton,Community Exchange System
2011,DKG - Deutsche Kompensationsgesellschaft mbH,Germany,Berlin,Commercial Exchange System
2011,SOL,France,mouvement national,Système d'échange commercial + temps
2011,Open-Transactions,United States,Los Angeles,Transaction Software
2011,KW Cash,United States,Pennsylvania,Valuable Local Currency (VLC)
2011,Ven,Hong Kong,Worldwide,Global financial currency
2011,Bitcoin,United States,Worldwide,p2p cryptocurrency
2011,Ripplepay,Canada,Global,Ripple System
2011,Rain Droplet,Canada,Several,Mutual Credit System
2011,Realo,Germany,ReWiG Tauschgemeinschaft,Community Barter System
2011,Eko,Scotland,Findhorn Ecovillage,Valuable Local Currency (VLC)
2011,Time Bank Dobrobank,Ukraine,Ukrainian Public Organization,Time Bank System
2011,SELEsneux,Belgium,Wallonie,Local Exchange Trading System  (LETS)
2011,Augusta,Germany,Göttingen,Gogo System
2011,Unis-Vers-Sel,Belgium,Wallonie,Local Exchange Trading System  (LETS)
2011,SEL de Somme,Belgium,Française,Local Exchange Trading System  (LETS)
2011,Clés de SEL,Belgium,Wallonie,Local Exchange Trading System  (LETS)
2011,Dane County TimeBank,United States,Dane County,Time Bank System
2011,Banco de Tiempo de Belén,Colombia,Estratos medio y bajo,Time Bank System
2011,Kékfrank,Hungary,Region Sopron,Voucher Currency System
2011,Bakonyi CsereKÖR,Hungary,Bakonyi CsereKÖR,
2010,SEL Glânois & Alentours,Switzerland,Glâne,Local Exchange Trading System  (LETS)
2010,Sistema de Trueke Kirikire de Los Valles del Tuy,Venezuela,Región Valles del Tuy (estado Miranda),Sistema de Trueke
2010,Sistema de Trueke Merideño,Venezuela,Estado Mérida,Sistema de Trueke
2010,Sistema de Trueke Saquito Larense,Venezuela,"Sanare, Quibor, El Tocuyo, Barquisimeto (edo Lara)",Sistema de Trueke
2010,Sistema de Trueke Cimarrón de Barlovento,Venezuela,Región Barlovento (estado Miranda),Sistema de Trueke
2010,Sistema de Trueke Perijá Sur,Venezuela,Machiques de Perijá (estado Zulia),Sistema de Trueke
2010,Sistema de Trueke Perijá Norte,Venezuela,Villa del Rosario de Perijá,Sistema de Trueke
2010,Sistema de Trueke Bio-Región Turimiquire,Venezuela,Sierra de Turimiquire,Sistema de Trueke
2010,Sistema de Trueke Ticoporo,Venezuela,Estado Barinas,Sistema de Trueke
2010,Sistema de Trueke de l@s Pariagotos,Venezuela,Península de Paria,Sistema de Trueke
2010,Sistema de Trueke de Paraguachoa,Venezuela,Isla Margarita,Sistema de Trueke
2010,Sistema de Trueke de Boconó,Venezuela,Boconó,Sistema de Trueke
2010,Sistema de Trueke de la C.C.C. José L Chirinos,Venezuela,Confederación de Consjs Comunales José L. Chirin,Sistema de Trueke
2010,Sistema de Trueke de Urachiche,Venezuela,"municipio Urachiche, Yaracuy",Sistema de Trueke
2010,Hour Exchange Portland,United States,"Greater Portland, Maine",Time Bank System
2010,Otaki Time Bank,New Zealand,Otaki,Time Bank System
2010,1worldcurrency.net,United States,Planet Earth,Interest free resource based electronic
2010,Málaga Común,Spain,Málaga,LETSystem
2010,Premier Barter,United States,"Phoenix, AZ",Local Exchange Trading System  (LETS)
2010,MittelFranken,Germany,Schwabach,REGIO System
2010,Regional Exchange System,Ukraine,International,Robust Complementary Community Currency System
2010,SEL de MARS,France,SEL de MARS,Local Exchange Trading System  (LETS)
2010,monsSEL,Belgium,locale,Local Exchange Trading System  (LETS)
2010,TWINZ,New Zealand,Nelson,Local Exchange Trading System  (LETS)
2010,SELeri,Belgium,Rixensart,Local Exchange Trading System  (LETS)
2010,Macasel,Belgium,Wallonie,Local Exchange Trading System  (LETS)
2010,SEL'Bonheur Beauvechain,Belgium,Brabant Wallon,Local Exchange Trading System  (LETS)
2010,Dreyecker,Germany,Schopfheim,REGIO System
2010,Minuto-ZeitGutscheine,Germany,International,Individual-Emissionssystem
2010,South East Wales LETS,United Kingdom,South East Wales,Local Exchange Trading System  (LETS)
2009,RiverHOURS,United States,Columbia River Gorge,HOURS System
2009,Unity Currency,United States,International,Local Exchange Trading System  (LETS)
2009,Milwaukee Area Time Exchange,United States,Milwaukee County,Time Bank System
2009,Falmouth LETS,United Kingdom,Falmouth (10 mile radius),Local Exchange Trading System  (LETS)
2009,Bay Of Islands Community Exchange,New Zealand,Bay Of Islands,Community Exchange System
2009,Eastern Suburbs / Warranwood LETS Live Inc.,Australia,Melbourne,Local Exchange Trading System  (LETS)
2009,Totnes Pound,United Kingdom,Totnes,Community Exchange System
2009,Ann Arbor Small Business & Community Exchange,United States,Ann Arbor - Washtenaw County,LETSystem
2009,TATS,New Zealand,South Canterbury,Community Exchange System
2009,TALENTS,New Zealand,Motueka,Community Exchange System
